plot,movie_id
"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",130
N/A,131
A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,132
"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",133
"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",134
"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",135
"New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredible",136
"The unruly team of hockey misfits grows up a bit and receives scholarships to a prestigious prep school, where they take on the snotty varsity team.",137
Movie not found!,138
"A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners.",139
"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",140
"An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II.",141
The musical is based on a true story about the von Trapp family who famously escaped the occupation of Austria by the Nazi's at the start of the Second World War. The von Trapp's were an ...,142
An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,143
Movie not found!,144
"After her abusive husband leaves, Monica asks her neighbor to look after her son while she's at work. Mildred's angry daughter's just moved out, so she's happy to have JJ.",145
Movie not found!,146
Movie not found!,147
"In late 1800s England, Jude plans to go to the city and attend university but marries early and becomes a stonemason. When his wife leaves, he moves to the city, where he befriends his liberal cousin Sue.",148
"A wannabe actor has a hard time moving on from a break-up, but he is lucky to have supportive friends.",149
The classic Roald Dahl tale gets a modern twist when Tom and Jerry enter the amazing world of Willy Wonka's Chocolate Factory.,150
A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.,151
Movie not found!,152
"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",153
"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",154
"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",155
"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",156
"Two losers try to pretend that their murdered employer is really alive, leading the hitman to attempt to track him down to finish him off.",157
A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,158
An examination of the machinations behind the scenes at a real estate office.,159
"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",160
"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",161
Movie not found!,162
Abyss is a candid glimpse into the troubled events surrounding a marriage proposal that leaves an Army Officer stranded at a bus stop in Philadelphia.,163
A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.,164
Movie not found!,165
A sheltered young high-society woman joins the United States Army on a whim and finds herself in a trickier situation than she ever expected.,166
"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",167
Movie not found!,168
A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,169
Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,170
A radio drama version of 'The Empire Strikes Back'.,171
Interview with the cast on the 20th anniversary,172
"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",173
A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,174
"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",175
Movie not found!,176
A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,177
Movie not found!,178
A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,179
"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",180
"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",181
"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",182
"A sardonic hardware store clerk is accidentally transported to 1300 A.D., where he must retrieve the Necronomicon and battle an army of the dead so he can return home.",183
"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",184
Movie not found!,185
Movie not found!,186
A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,187
Movie not found!,188
"In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.",189
"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",190
"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",191
Movie not found!,192
N/A,193
"Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon.",194
Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,195
Movie not found!,196
Movie not found!,197
Movie not found!,198
An attractive young man joins a cricket club and finds that the vice captain may have an unexpected vice...,199
The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,200
A weatherman finds himself inexplicably living the same day over and over again.,201
"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The &quot;Schofield Kid.&quot;",202
"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",203
The World War II phase of the career of controversial American general George S. Patton.,204
A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,205
"Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",206
"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",207
"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",208
"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",209
The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,210
Movie not found!,211
Movie not found!,212
A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,213
"Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",214
"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",215
N/A,216
"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",217
Movie not found!,218
Movie not found!,219
"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",220
The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,221
"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",222
"To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles.",223
"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",224
"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",225
"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",226
Movie not found!,227
Admiral Kirk and his bridge crew risk their careers stealing the decommissioned U.S.S. Enterprise to return to the restricted Genesis Planet to recover Spock's body.,228
"To save Earth from an alien probe, Admiral James T. Kirk and his fugitive crew go back in time to San Francisco in 1986 to retrieve the only beings who can communicate with it: humpback whales.",229
"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",230
"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",231
An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.,232
"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",233
Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.,234
"An irresponsible, drug-addicted, recently impregnated woman finds herself in the middle of an abortion debate when both parties attempt to sway her to their respective sides.",235
"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",236
"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",237
"A security pro finds his past coming back to haunt him, when he and his unique team are tasked with retrieving a particularly important item.",238
"Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score.",239
Movie not found!,240
"A hopeful young screenwriter, desperate to escape the boredom of waiting tables and the cruel teasing of his workmates, waits for an email that could change the course of his whole life.",241
Movie not found!,242
"A 6 y.o. Inuit boy runs off a snowy roof in Copenhagen and dies. Smilla, a half Inuit who lives in the building and knows the boy, looks into it. What makes an acrophobic boy run up on the roof? The clues take her to Greenland.",243
Movie not found!,244
"Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",245
"A space alien is threatening to bring destruction on Earth, and the Power Rangers are enhanced with turbo powers in order to prevent his plan.",246
"Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time.",247
A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.,248
Movie not found!,249
A successful but unhappy Japanese accountant finds the missing passion in his life when he begins to secretly take ballroom dance lessons.,250
Movie not found!,251
Movie not found!,252
Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,253
"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.",254
Movie not found!,255
A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,256
"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",257
A man raised in the jungle by apes falls in love with a wealthy American heiress.,258
A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.,259
An unexpected player joins the school basketball team - a circus dog who escaped from a cruel master.,260
"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruinin",261
A scientist for the military turns himself into a cartoon-like superhero when a version of one of his own weapons is being used against enemies.,262
"Three years ago, entomologist Dr. Susan Tyler genetically created an insect to kill cockroaches carrying a virulent disease. Now, the insects are out to destroy their only predator, mankind.",263
Movie not found!,264
A barbarian warrior becomes a king when he defeats a king in armed combat and the king's heir conspire to overthrow him and reclaim the throne by resurrecting an evil sorceress.,265
Incorrect IMDb ID.,266
"Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",267
Movie not found!,268
A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,269
"Humans in a fascist, militaristic future wage war with giant alien bugs.",270
"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",271
A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,272
"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",273
"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",274
"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",275
"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",276
"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",277
A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,278
"This ZDF documentary describes the life of Osama during his last years' hiding in Abbottabad, Pakistan. Based on new letters exchanged with family members, international historians and ...",279
Movie not found!,280
Movie not found!,281
"While matchmaking for friends and neighbours, a young 19th Century Englishwoman nearly misses her own chance at love.",282
A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his successful rival's girlfriend.,283
"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",284
Movie not found!,285
"After seventeen years, a fiercely independent woman and her rebellious son return home and together they turn the family she left behind upside down.",286
"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",287
"The hit musical based on the life of Eva Perón (Evita Duarte), a B-picture Argentinian actress who eventually became the wife of Argentinian president Juan Domingo Perón, and the most beloved and hated woman in Argentina.",288
Zookeepers struggle to deal with the policies of changing directors.,289
Career thief Luther Whitney (Clint Eastwood) witnesses a horrific crime involving U.S. President Alan Richmond (Gene Hackman).,290
A dramatization of a 1923 horrific racist lynch mob attack on an African-American community.,291
"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",292
A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,293
A man searches for his missing wife after his car breaks down in the middle of the desert.,294
Movie not found!,295
"A reclusive beekeeper slowly pulls his dysfunctional family back together, but not without having to fight his son's previous dastardly cohorts.",296
"To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge.",297
Black gangsters in 1930 Harlem fights Dutch Schultz who is trying to horn in on their numbers racket.,298
"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",299
A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.,300
"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",301
"A reclusive beekeeper slowly pulls his dysfunctional family back together, but not without having to fight his son's previous dastardly cohorts.",302
A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,303
"When Canadian figure skaters, Jamie Sale and David Pelletier, skated a flawless routine in Salt Lake City, it should have been a gold medal performance they would always remember. But ...",304
Movie not found!,305
Movie not found!,306
"In 1917, two children take a photograph, which is soon believed by some to be the first scientific evidence of the existence of fairies.",307
"A hooker is found cut in two. Two cops give polygraph tests to the only suspect, James Wayland (Tim Roth), an unstable genius. After some time, the roles change.",308
Movie not found!,309
Movie not found!,310
"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",311
"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",312
The three unstoppable Ninja brothers fight to save their hero (Hulk Hogan) and Mega Mountain Amusement Park from the vicious kid-hating Medusa (Loni Anderson).,313
A boy blackmails his neighbor after suspecting him to be a Nazi war criminal.,314
"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",315
A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,316
"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",317
A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,318
A horrific triple child murder leads to an indictment and trial of three nonconformist boys based on questionable evidence.,319
A mother desperately searches for the killer who framed her son for a girl's horrific murder.,320
A young woman is murdered in the White House. Homicide detective Regis (Wesley Snipes) investigates while Secret Service works against him. He's assigned agent Chance (Diane Lane). She eventually cooperates after a man's framed.,321
